Delivery Date,Delivery Hour,Delivery Interval,Repeated Hour Flag,Settlement Point Name,Settlement Point Type,Settlement Point Price
01/03/2022,14,4,N,LZ_SOUTH,LZ,20.25
01/03/2022,15,1,N,LZ_SOUTH,LZ,19.51
01/03/2022,15,2,N,LZ_SOUTH,LZ,18.96
01/03/2022,15,3,N,LZ_SOUTH,LZ,18.13
01/03/2022,15,4,N,LZ_SOUTH,LZ,17.49
01/03/2022,16,1,N,LZ_SOUTH,LZ,16.79
01/03/2022,16,2,N,LZ_SOUTH,LZ,16.82
01/03/2022,16,3,N,LZ_SOUTH,LZ,17.61
01/03/2022,16,4,N,LZ_SOUTH,LZ,18.55
01/03/2022,17,1,N,LZ_SOUTH,LZ,17.91
01/03/2022,17,2,N,LZ_SOUTH,LZ,19.81
01/03/2022,17,3,N,LZ_SOUTH,LZ,22.19
01/03/2022,17,4,N,LZ_SOUTH,LZ,23.81
01/03/2022,18,1,N,LZ_SOUTH,LZ,24.42
01/03/2022,18,2,N,LZ_SOUTH,LZ,26.32
01/03/2022,18,3,N,LZ_SOUTH,LZ,28.05
01/03/2022,18,4,N,LZ_SOUTH,LZ,28.23
01/03/2022,19,1,N,LZ_SOUTH,LZ,26.29
01/03/2022,19,2,N,LZ_SOUTH,LZ,25.15
01/03/2022,19,3,N,LZ_SOUTH,LZ,24.36
01/03/2022,19,4,N,LZ_SOUTH,LZ,23.58
01/03/2022,20,1,N,LZ_SOUTH,LZ,23.15
01/03/2022,20,2,N,LZ_SOUTH,LZ,22.8
01/03/2022,20,3,N,LZ_SOUTH,LZ,22.53
01/03/2022,20,4,N,LZ_SOUTH,LZ,22.46
01/03/2022,21,1,N,LZ_SOUTH,LZ,21.8
01/03/2022,21,2,N,LZ_SOUTH,LZ,21.68
01/03/2022,21,3,N,LZ_SOUTH,LZ,21.38
01/03/2022,21,4,N,LZ_SOUTH,LZ,23.35
01/03/2022,22,1,N,LZ_SOUTH,LZ,25.84
01/03/2022,22,2,N,LZ_SOUTH,LZ,25.38
01/03/2022,22,3,N,LZ_SOUTH,LZ,24.27
01/03/2022,22,4,N,LZ_SOUTH,LZ,23.91
01/03/2022,23,1,N,LZ_SOUTH,LZ,24.02
01/03/2022,23,2,N,LZ_SOUTH,LZ,26.45
01/03/2022,23,3,N,LZ_SOUTH,LZ,23.9
01/03/2022,23,4,N,LZ_SOUTH,LZ,25.58
01/03/2022,24,1,N,LZ_SOUTH,LZ,25.1
01/03/2022,24,2,N,LZ_SOUTH,LZ,24.37
01/03/2022,24,3,N,LZ_SOUTH,LZ,23.6
01/03/2022,24,4,N,LZ_SOUTH,LZ,23.39
01/04/2022,1,1,N,LZ_SOUTH,LZ,22.19
01/04/2022,1,2,N,LZ_SOUTH,LZ,22.09
